word,antonym
blended,unblended
blessed,curse|desecrate
blessed,cursed
blest,curse|desecrate
blest,cursed
blind,sighted
blocked,unstuff|free|remember|unfreeze;unblock
blond,brunet
blonde,brunet
bloodless,bloody
bloody,bloodless
blown,conserve
blue-collar,white-collar
blunt,sharpen|enliven
blunted,sharpen|enliven
blurred,focus|focus|focus
bodied,unbodied
boiled,freeze
bold,timid
boneless,bony
boney,boneless
bony,boneless
bordered,unbordered
bored,interest
boring,interest
born,unborn
bottle-fed,breast-fed
bottom,top
bottom,side
bottom-up,top-down
bottomed,bottomless
bottomless,bottomed
bouncing,clear
bound,unbind|untie
bound,unbound|free|unbound
bowed,plucked
boxed,unbox
braced,sedate;de-energize;de-energise
brachycephalic,dolichocephalic
brachycranial,dolichocephalic
brachycranic,dolichocephalic
bracing,sedate;de-energize;de-energise
bracteate,ebracteate
bracted,ebracteate
braided,unbraid
brainwashed,unbrainwashed
branchiate,abranchiate
branchless,branchy
branchy,branchless
branded,unbranded
brave,timid
brave,cowardly
breakable,unbreakable
breast-fed,bottle-fed
breasted,breastless
breastless,breasted
breathing,breathless
breathless,breathing
bridgeable,unbridgeable
bright,dull|dimmed
broad,narrow
broad-minded,shockable|narrow-minded
broadnosed,catarrhine
broke,repair|keep|conform to|make|promote
broken,repair|keep|conform to|make|promote
broken,unbroken|unbroken|unbroken
brotherlike,sisterly
brotherly,sisterly
brunet,blond
brunette,blond
bulging,concave
bumpy,smooth
burdened,unburden
burdened,unburdened
buried,remember
buried,unburied
bust,repair
busted,repair
busy,idle
buttoned,unbutton
buttoned,unbuttoned
cacogenic,eugenic
cacophonic,euphonious
cacophonous,euphonious
caducous,persistent
calced,discalced
calcicolous,calcifugous
calcifugous,calcicolous
calculable,incalculable
calm,discomposure
calm,agitate|stimulate
calm,stormy
caloric,nonthermal
camphorated,uncamphorated
campylotropous,orthotropous
cancelled,on
canned,hire
capable,incapable|incapable
capital,lowercase
capitalist,socialistic
capitalistic,socialistic
cardinal,ordinal
cared-for,uncared-for
careful,careless
careless,careful
carinate,ratite
carnivorous,herbivorous
carpellate,acarpelous
carpeted,uncarpeted
carved,uncarved
carvel-built,clinker-built
carven,uncarved
castrated,uncastrated
catabatic,anabatic
catabolic,anabolic
cataclinal,anaclinal
catadromous,diadromous
catalectic,hypercatalectic
catarrhine,leptorrhine
catarrhinian,leptorrhine
catching,unhitch
categorematic,syncategorematic
cathodic,anodic
cationic,anionic
caudal,cephalic
caudate,acaudate
caudated,acaudate
caulescent,acaulescent
cauline,acaulescent|radical
caulked,uncaulked
causative,noncausative
cautious,brave
cautious,incautious
ceilinged,floored
cellular,noncellular
cenobitic,eremitic
cenobitical,eremitic
cenogenetic,palingenetic
censored,uncensored
center,right
central,peripheral
centralised,decentralize;decentralise;deconcentrate
centralised,decentralized
centralising,decentralize;decentralise;deconcentrate
centralising,decentralizing
centralized,decentralize;decentralise;deconcentrate
centralized,decentralized
centralizing,decentralize;decentralise;deconcentrate
centralizing,decentralizing
centrifugal,centripetal
centripetal,centrifugal
cephalic,caudal
cerebral,emotional
certain,uncertain;unsure|uncertain|uncertain|unsealed
certified,decertify
certified,uncertified
chained,unchain
changeable,immutable|unchangeable
changed,stay
changed,unchanged
changeful,unchangeable
changeless,mutable
changing,stay
characteristic,uncharacteristic
charged,discharge|pay cash|calm
charged,uncharged
charitable,uncharitable
chartered,unchartered
chaste,unchaste
cheap,expensive
checked,disagree
cheerful,depressing
cheering,dishearten|complain
cheerless,cheerful
chilling,heat|heat
chlamydeous,achlamydeous
choked,unclog|be born
cholinergic,anticholinergic
chondritic,achondritic
christian,unchristian
chromatic,diatonic|achromatic
chromatinic,achromatinic
chronic,acute
circular,square
cismontane,tramontane
civil,uncivil|sidereal
civilian,serviceman
civilian,military
civilised,noncivilized
civilized,noncivilized
clad,undress
clad,unclothed
clarifying,obfuscate
classic,nonclassical
classical,nonclassical
classified,declassify
classified,unclassified|unclassified
clayey,arenaceous
clean,dirty
clean,dirty|unclean|dirty|dirty
clean,unfairly
clean-handed,guilty
clear,clutter|overcast|bounce|convict
clear,unclear|opaque|ill-defined|cloudy
clear-thinking,confused
cleared,clutter|overcast|bounce|convict
cleared,uncleared
clearheaded,confused
clement,inclement|inclement
climactic,anticlimactic
clincher-built,carvel-built
clinker-built,carvel-built
clipped,unclip
clockwise,counterclockwise
clockwise,counterclockwise
clogged,unclog
clogging,unclog
close,open|open|open|open|open
close,distant|distant|far
closed,open|open|open|open|open
closed,open|open|open|open
closing,opening
closing,open|open|open|open|open
closing,opening
clothed,undress
clothed,unclothed
clotted,homogenize
clouded,clear up
cloudy,clear
cluttered,unclutter
coarse,fine
coastal,inland
coated,uncoated
coenobitic,eremitic
coenobitical,eremitic
cognisable,unknowable
cognisant,unaware
cognizable,unknowable
cognizant,unaware
cognoscible,unknowable
coherent,incoherent|incoherent
coiled,uncoil
coiled,uncoiled
coiling,uncoil
cold,hotness
cold,hot|hot
cold-blooded,warm-blooded
coldhearted,warmhearted
collapsable,noncollapsible
collapsible,noncollapsible
collateral,lineal
collect,spread
collected,spread
collected,uncollected;ungathered
collective,distributive
colonised,decolonize;decolonise
colonized,decolonize;decolonise
color,colorlessness
color,discolor
color,black-and-white
colored,discolor
colored,uncolored
colorful,colorless|colorless;colourless|uncolored
colorless,colorful;colourful|colorful
colour,colorlessness
colour,discolor
colour,black-and-white
coloured,discolor
coloured,uncolored
colourful,colorless;colourless|colorless
colourless,colorful;colourful|colorful
columned,noncolumned
combed,uncombed
combinative,noncombinative
combinatory,noncombinative
combined,uncombined
combustible,noncombustible
comestible,inedible
comfortable,uncomfortable|uncomfortable
comfy,uncomfortable
coming,go|leave
commensurate,incommensurate
commercial,noncommercial
commissioned,noncommissioned
committed,divest
committed,uncommitted|unattached
commodious,incommodious
common,individual|uncommon
communicative,uncommunicative
communicatory,uncommunicative
commutable,incommutable
compact,decompress
compact,loose
comparable,incomparable
comparative,absolute
compartmented,uncompartmented
compassionate,uncompassionate
compatible,incompatible|incompatible
compensated,wrong
competent,incompetent|incompetent
competitive,noncompetitive
competitory,noncompetitive
complaining,cheer
complaining,uncomplaining
complaintive,uncomplaining
complete,incomplete
complex,simple
compliant,defiant
complicated,simplify
complimentary,uncomplimentary
composed,discomposed
compound,simple
comprehendible,incomprehensible
comprehensible,incomprehensible
comprehensive,noncomprehensive
compressed,decompress
compressible,incompressible
compromising,uncompromising
concave,convex
concealed,show
concealed,unconcealed
concealing,show
concealing,revealing
concentrated,decentralize;decentralise;deconcentrate
concentrated,distributed|soft|unsaturated
concentric,eccentric
concentrical,eccentric
concerned,unconcerned
conciliative,antagonistic
conciliatory,uncompromising|antagonistic
concise,prolix
conclusive,inconclusive
concrete,abstract
concurring,disagree
conditional,unconditional
conditioned,unconditioned
conductive,nonconductive
confident,diffident
confined,free
confined,invasive|unconfined
confining,free
confirmed,negate
confirmed,unconfirmed
confirming,negate
confirming,negative
confluent,distributary
conforming,deviate
conformist,nonconformist
conformist,nonconformist
confused,clearheaded
congenial,uncongenial
congested,unclog
congruent,incongruous|incongruent
congruous,incongruous
conjoined,disjoin
conjunct,disjunct
conjunctive,disjunctive
connate,adnate
connected,disconnect|dissociate|unplug
connected,unconnected
connotative,denotative
conquerable,unconquerable
conscientious,unconscientious
conscious,unconscious
consecrate,desecrate
consecrate,desecrated
consecrated,desecrate
consecrated,desecrated
consenting,refuse
conservative,liberal
conservative,liberal
conserved,waste
considerable,inconsiderable
considerate,inconsiderate
consistent,inconsistent|unreproducible|incoherent
consolable,inconsolable
consonant,vowel
consonantal,vocalic
conspicuous,inconspicuous
constant,inconstant
constipated,unconstipated
constituted,unestablished
constitutional,unconstitutional
constricted,unconstricted
constructive,destructive
consuming,abstain
consummated,unconsummated
consumptive,generative
contaminated,decontaminate
contaminated,uncontaminated
contaminating,decontaminate
contaminating,clean
contemptible,estimable
content,discontent
content,discontented
contented,discontent
contented,discontented
contestable,incontestable
contested,uncontested
continent,incontinent
continental,intercontinental
continual,sporadic
continuant,stop consonant
continued,discontinue|discontinue
continued,discontinued
continuing,discontinue|discontinue
continuous,discontinuous|discontinuous
contraclockwise,clockwise
contracted,stretch;expand|widen|expand
contracted,expanded
contralateral,ipsilateral
contrapuntal,monophonic
contrasty,flat
controlled,uncontrolled
controversial,uncontroversial
convenient,inconvenient|incommodious
conventional,unconventional|nuclear|unconventional
convergent,divergent
convertible,inconvertible
convex,concave
convinced,unconvinced
convincing,unconvincing
cooked,raw
cool,heat|heat
cool,warm|warm|warm
cooperative,uncooperative
coordinating,subordinating
coordinative,subordinating
corked,uncork
corking,uncork
corporeal,incorporeal
correct,falsify|wrong
correct,incorrect;wrong|wrong
corrected,falsify|wrong
corrected,uncorrected
corresponding,disagree
corrigible,incorrigible
corrupt,incorrupt|straight
cosmopolitan,endemic|provincial
costive,laxative
counterclockwise,clockwise
counterclockwise,clockwise
counterfeit,genuine
counterrevolutionary,revolutionary
coupled,uncouple
courageous,cowardly
courteous,discourteous
cousinly,uncousinly
covered,uncover
covered,bare
covert,overt
cowardly,brave
crannied,uncrannied
creative,uncreative
credible,incredible
credited,debit
credulous,incredulous
crescendo,decrescendo
critical,uncritical|noncritical|uncritical|noncritical
crooked,straight|straight
cross,uncross
cross-eyed,walleyed
crossbred,purebred
crossed,uncross
crossed,uncrossed|uncrossed
crosswise,lengthwise
crowded,uncrowded
crowned,uncrowned|unlaureled|uncrowned
crownless,crowned
crucial,noncrucial
crude,refined
crying,laugh
crystalline,noncrystalline
crystallised,uncrystallized
crystallized,uncrystallized
cubic,linear
cultivated,uncultivated
curable,incurable
curdled,homogenize
curious,incurious
curled,uncoil
curling,uncoil
curly,straight
current,noncurrent
cursed,bless|communicate
cursed,blessed
cursorial,fossorial
curst,bless|communicate
curst,blessed
curtained,curtainless
curtainless,curtained
curved,straight
curving,straight
custom,ready-made
custom-built,ready-made
custom-made,ready-made
custom-made,ready-made
cut,switch on|expand
cut,uncut|uncut|untrimmed|unmown|uncut
cutting,switch on|expand
cyclic,acyclic|acyclic|noncyclic
cyclical,noncyclic
damaged,undamaged
damn,bless
damned,bless
damning,bless
dangerous,safe
daring,timidity
dark,light|day
dark,light|light
darkened,lighten|brighten
darkening,lighten|brighten
datable,undatable
dateable,undatable
de-iodinating,iodinate
de-iodinating,iodinating
de facto,de jure
de jure,de facto
de jure,unlawfully
dead,living
dead,alive|live
deadened,enliven
deadening,enliven
deaf,hearing
debilitating,invigorating
deceased,be born
decent,indecent
decent,improperly
decentralised,centralize;concentrate
decentralised,centralized
decentralising,centralize;concentrate
decentralising,centralizing
decentralized,centralize;concentrate
decentralized,centralized
decentralizing,centralize;concentrate
decentralizing,centralizing
deciduous,evergreen
deciphered,encode
deciphered,undeciphered
decisive,indecisive|indecisive
declarative,interrogative;interrogatory
declaratory,interrogative;interrogatory
declared,undeclared
declassified,classify
deconsecrated,consecrate
decorated,unadorned
decorous,indecorous
decreased,increase|increase
decreased,increased
decreasing,increase|increase
decreasing,increasing|increasing
decrescendo,crescendo
dedicated,undedicated|desecrated
dedifferentiated,differentiate
deductible,nondeductible
deductive,inductive
deep,shallow|shallow
defeasible,indefeasible
defeated,undefeated
defending,attack|prosecute
defensive,offensive
defiant,compliant
deficient,sufficient
defined,undefined
definite,indefinite
deflated,inflate|inflate|inflate
deflationary,inflationary
deformed,unbend
degenerate,recuperate
degraded,aggrade
degrading,aggrade
dehiscent,indehiscent
dehumanised,humanize
dehumanized,humanize
dehydrated,hydrate
dejected,elate
dejected,elated
delayed,rush
delicate,rugged
delighted,displease|disenchant
delineate,undelineated
delineated,undelineated
demanding,obviate
demanding,undemanding
democratic,undemocratic
demonstrated,disprove
demonstrative,undemonstrative
demoralised,elate
demoralising,elate
demoralized,elate
demoralizing,elate
demythologised,mythologize
demythologized,mythologize
deniable,undeniable
denotative,connotative
denotive,connotative
departed,come|conform|stay
dependable,unreliable;undependable
dependent,independent|independent
depreciating,appreciate|appreciate
depressant,stimulative
depressed,elate
depressing,elate
depressing,cheerful
deprived,enrich
derivational,inflectional
derived,underived
descendant,ancestor
descendent,ancestor
descending,ascend;rise
descending,ascending
descriptive,undescriptive|prescriptive
desecrated,consecrate
desecrated,consecrated
desensitising,sensitize;sensitise|sensitize
desensitising,sensitizing
desensitizing,sensitize;sensitise|sensitize
desensitizing,sensitizing
deserved,unmerited
desiccate,hydrate
desiccated,hydrate
designed,undesigned
desirable,undesirable
desirous,undesirous
despairing,hope
destroyed,preserved
destructible,indestructible
destructive,constructive
detachable,attachable
detached,attach|attach
detached,attached
detected,undetected
determinable,indeterminable
determinate,indeterminate|indeterminate
determined,undetermined
detested,love
devalued,appreciate
developed,undeveloped
deviate,conform
dextral,sinistral
diabatic,adiabatic
diachronic,synchronic
diadromous,anadromous
diatonic,chromatic
diclinous,monoclinous
dicotyledonous,monocotyledonous
different,same|like
differentiated,integrate|dedifferentiate
differentiated,undifferentiated
difficult,easy|manageable
diffident,confident
diffuse,hard
diffused,hard
digestible,indigestible
digital,analogue
digitigrade,plantigrade mammal
digitigrade,plantigrade
dignified,undignified
diligent,negligent
dilute,undiluted
diluted,undiluted
dim,focus
dim,undimmed
diminished,increase
diminished,hypertrophied
diminishing,increase
dimmed,focus
dimmed,undimmed
dioecian,monoecious
dioecious,monoecious
diploid,polyploid
diplomatic,undiplomatic
diplomatical,undiplomatic
direct,indirect|indirect|collateral|retrograde|inverse|alternating
directional,omnidirectional
dirty,clean
dirty,clean|clean|clean
disabled,enable
disabling,enable
disabling,enabling
disadvantaged,advantage
disadvantageous,advantageous
disagreeable,agreeable
disapproving,approve|approve
disarming,arming;armament
disarming,arm
disarranged,arrange
disarranged,arranged
disarrayed,order
disbelieving,believe
discalceate,calced
discalced,calced
discernable,indiscernible
discernible,indiscernible
discerning,undiscerning
discharged,charge|convict|enlist|fill
discomposed,composed
disconfirming,positive
disconnected,plug in|connect
disconnected,legato
disconsolate,consolable
discontent,contentment
discontent,content
discontent,contented
discontented,content
discontented,contented
discontinued,continue|continue
discontinued,continued
discontinuous,continuous|continuous
discordant,accordant
discouraged,encourage
discouraging,encourage
discouraging,encouraging
discourteous,courteous
discredited,believe
discreet,indiscreet
discriminate,indiscriminate
discriminating,undiscriminating
discriminatory,unprejudiced
disenchanted,enchant
disenchanted,enchanted
disenchanting,enchant
disenfranchised,enfranchise
disenfranchised,enfranchised
disentangled,entangle;snarl
disfranchised,enfranchise
disfranchised,enfranchised
disgraced,honor
disheartened,hearten
disheartening,hearten
dishonest,honest
dishonorable,honorable|honest
dishonored,honor|honor
dishonourable,honorable
disillusioned,enchant
disillusioning,enchant
disinclined,dispose
disinclined,inclined
disingenuous,ingenuous
disinherited,bequeath
disintegrative,integrative
disjoined,join|join
disjoint,join|join
disjointed,join|join
disjunct,conjunct
disjunctive,conjunctive
disliked,like
disliked,liked
disloyal,patriotic|loyal
dismantled,raise|assemble
dismayed,elate
dismaying,elate
dismissed,hire
disobedient,obedient
disobliging,oblige
disordered,order
disordered,ordered
disorderly,orderly
disorganised,organize;organise
disorganised,organized
disorganized,organize;organise
disorganized,organized
disoriented,orient
disorienting,orient
disorienting,orienting
disparaging,flatter
dispensable,indispensable
dispirited,elate
dispiriting,elate
displeased,please
displeased,pleased
displeasing,please
displeasing,pleasing
disposable,nondisposable|nondisposable
disposed,indispose|disqualify
disproportional,proportionate
disproportionate,proportionate
disqualified,qualify|qualify
disqualifying,qualify|qualify
disqualifying,enabling
disreputable,reputable
disrespectful,respectful
dissatisfied,satisfy
dissected,synthesize
dissenting,assent|agree
dissimilar,similar|alike|like
dissuasive,persuasive
distal,proximal|mesial
distant,close|close
distinct,indistinct
distinguishable,indistinguishable
distorted,untwist
distressed,euphoric
distributed,gather
distributed,concentrated
distributive,collective
distrustful,trustful
diurnal,nocturnal
divergent,convergent
diverging,converge|converge|converge|conform
diverging,convergent
diversified,specialize
diversified,undiversified
divided,unite|multiply
divided,united
divisible,indivisible
docile,stubborn
documented,undocumented
dolichocephalic,brachycephalic
dolichocranial,brachycephalic
dolichocranic,brachycephalic
domestic,foreign|undomestic
dominant,subordinate|recessive
domineering,submissive
done,unmake
dormant,active
dorsal,ventral|adaxial
double,single|multivalent
double-barreled,single-barreled
double-barrelled,single-barreled
double-breasted,single-breasted
down,up
down,up;upwards;upward;upwardly|up|up
downmarket,upmarket
downstage,upstage
downstage,upstage
downstair,upstairs
downstairs,upstairs
downstairs,upstairs
downstream,upstream
downstream,upriver;upstream
downtown,uptown
downtown,uptown
downward,up;upwards;upward;upwardly
downwind,upwind|leeward;upwind
drained,undrained
dramatic,undramatic|lyric
drawn,push|deposit|repel
dress,undress|undress
dressed,undress|undress
dried,wet
drinkable,undrinkable
driven,attract
driving,attract
dropping,sharpen|attend to|recuperate
drunk,sober
dry,wet
dry,wet|wet|wet|wet|sweet|phlegmy
dry-eyed,tearful
due,undue|undue
dull,sharpen
dull,lively|bright|sharp|sharp
dulled,sharpen
dying,birth
dying,be born
dying,nascent
dynamic,undynamic|stative
dynamical,undynamic
dysgenic,eugenic
dysphemistic,euphemistic
dysphoric,euphoric
dyspneal,breathing
dyspneic,breathing
dyspnoeal,breathing
dyspnoeic,breathing
dystopian,utopian
eager,uneager
eared,earless
earless,eared
earlier,middle|late|middle
earliest,middle|late|middle
early,middle|late|middle
early,late
earned,unearned
earthly,heavenly
east,west
easterly,westerly
eastern,western|western
easy,difficult|uneasy
easy,quickly
